station,datetime,pm25_ugm3,co_mgm3,no2_ugm3,o3_ugm3,pm10_ugm3,so2_ugm3,wind_direction_deg,humidity_pct,uv_index,pressure_hpa,solar_radiation_wm2,temperature_c,wind_speed_ms,precipitation_mm
EL CAMAL,2016-12-01,25.263204854522453,0.8572710277954659,37.3873686203241,17.34948142352752,25.5,7.856403993381182,145.34867974095798,73.08416605571847,,725.4366355083089,211.5832123655914,13.956945869990225,1.4143358993157382,175.0
EL CAMAL,2017-01-01,20.913682093564436,0.9706730364656381,32.62526430348259,17.190233810784786,25.5,6.5364736412985485,140.45996619723962,74.07607246027925,,725.5550191582411,199.1496816321618,13.738273551596855,1.332861097737121,181.89705882352942
EL CAMAL,2017-02-01,19.715647321428573,0.7912574404761905,30.874747023809526,20.13172619047619,25.5,5.056019345238095,147.8807068452381,73.79330357142857,,726.0179017857143,182.93665178571428,13.568928571428572,1.4315625,115.0
EL CAMAL,2017-03-01,23.322479838709675,0.9557258064516129,37.450537634408605,18.246176075268817,25.5,5.13573252688172,150.83301075268815,79.60762096774194,,726.2321102150537,148.6494489247312,13.166061827956987,1.1906048387096773,342.5
EL CAMAL,2017-04-01,21.781697222222224,0.9600763888888889,33.108576388888885,16.919229166666664,25.5,6.736347222222222,154.1465763888889,72.70177083333334,,726.0278611111111,194.12530555555557,14.382305555555556,1.2774583333333334,215.9
EL CAMAL,2017-05-01,22.062224462365588,0.9220434038344492,29.419939516129034,13.968212365591398,25.5,6.369549731182795,135.80825940860214,75.07817204301075,,726.672190860215,179.1325134408602,13.958239247311829,1.2839650537634408,241.4
EL CAMAL,2017-06-01,21.311722222222222,0.9444444444444444,30.684638888888887,16.690673611111112,25.5,6.529951388888889,157.03834722222223,68.24768055555556,,726.3626944444445,189.26052777777775,14.297847222222224,1.363,139.0
EL CAMAL,2017-07-01,15.64709005376344,0.6188440860215054,23.13918682795699,25.31943548387097,25.5,5.215793010752688,155.65603494623656,52.92182795698924,,726.2752956989247,225.7581182795699,14.656559139784946,1.9793548387096775,1.7
EL CAMAL,2017-08-01,19.359287634408602,0.7989516129032258,32.718111559139786,26.84647177419355,25.5,5.982654569892474,145.6602755376344,59.10119623655914,,726.1195430107526,218.270564516129,14.525618279569892,1.6143682795698924,29.5
EL CAMAL,2017-09-01,21.698625,0.6820902777777778,33.35447222222222,36.37692361111111,25.5,5.086652777777777,156.5150277777778,58.98609722222222,,725.9202638888889,225.38712500000003,14.897319444444443,1.6222777777777777,29.9
EL CAMAL,2017-10-01,22.119543010752686,0.9850604838709678,33.623030913978496,21.285725806451612,25.5,5.880040322580645,151.94788978494623,68.41506720430107,,725.370752688172,213.4375,14.319448924731184,1.418212365591398,194.4
EL CAMAL,2017-11-01,27.514353356481482,0.8378385416666666,34.615009606481486,20.226375,25.5,7.975985147752931,147.6550486111111,71.34780555555555,,725.0818055555555,216.03195833333334,13.963152777777777,1.4742916666666668,71.1
EL CAMAL,2017-12-01,19.736747311827955,0.8727956989247312,28.620013440860216,22.33989247311828,25.5,5.658985215053764,144.52994623655914,70.33168682795699,,725.265309139785,212.52084677419356,14.141384408602152,1.5276881720430107,91.7
EL CAMAL,2018-01-01,21.621975806451612,0.8816868279569893,32.427735215053765,19.228655913978496,25.5,5.388635752688172,144.07815860215052,70.13334677419354,,724.9634946236558,201.5575806451613,13.627997311827956,1.3813844086021505,121.1
EL CAMAL,2018-02-01,18.292470238095238,0.6774032738095238,26.606071428571425,21.647559523809523,25.5,4.509598214285714,151.73549851190478,74.75458333333333,,725.4375,210.3475595238095,14.004970238095238,1.5279017857142858,81.7
EL CAMAL,2018-03-01,22.245961021505376,0.8565927419354838,34.703487903225806,21.37261424731183,25.5,6.70266129032258,131.4026747311828,69.83291666666668,,725.0291129032258,209.26901881720428,14.662862903225806,1.4384139784946237,114.3
EL CAMAL,2018-04-01,22.532013888888887,0.890875,30.190638888888888,15.400069444444444,25.5,9.497972222222222,163.83221527777778,71.85763888888889,,726.2472222222223,184.472,13.913611111111111,1.3450277777777777,118.3
EL CAMAL,2018-05-01,23.26393886292835,0.9998118279569893,28.836666666666666,12.639146505376344,25.5,8.865302419354839,137.63734543010753,76.19235215053763,,726.472809139785,174.4675,13.879825268817205,1.175013440860215,190.79999999999998
EL CAMAL,2018-06-01,17.405647569444444,0.7650069444444444,25.45521527777778,15.438201388888888,25.5,7.427708333333333,145.03674305555555,61.6095625,,726.0125277777778,207.59516666666664,14.694236111111111,1.5173124999999998,17.5
EL CAMAL,2018-07-01,18.353830645161292,0.7907056451612903,24.211297043010756,20.183702956989247,25.5,6.277916666666667,145.13211693548388,56.93618279569892,,725.6318010752689,217.6291935483871,14.682204301075268,1.7044354838709677,32.1
EL CAMAL,2018-08-01,13.78018817204301,0.5945295698924731,23.23682795698925,31.731780913978493,25.5,4.739899193548387,163.25292338709679,52.82715725806452,,725.7156048387097,260.7765188172043,14.911122311827956,1.9188978494623656,27.3
EL CAMAL,2018-09-01,19.37579894179894,0.7657408068783068,32.08670701058201,34.61605224867725,25.5,4.740014341078248,166.21895138888888,57.81522222222222,,725.1262361111111,237.9385,14.825125,1.6677777777777778,25.6
EL CAMAL,2018-10-01,29.936162634408603,0.9121774193548386,41.363985215053766,20.763790322580647,25.5,10.261612903225807,163.40139784946237,66.53527553763442,,725.6337903225807,223.81377688172046,14.235067204301075,1.4877956989247312,51.2
EL CAMAL,2018-11-01,23.34467824074074,0.955532638888889,35.92859722222222,18.329256944444445,25.5,7.00042104261796,148.2572152777778,77.06425,,725.5585625,169.36663194444446,13.845791666666665,1.3418958333333333,209.7
EL CAMAL,2018-12-01,20.5308623655914,0.8035674991328478,25.236452598566306,15.11100806451613,25.5,4.66904469641831,132.8599193548387,65.37126344086022,,725.4032258064516,212.44255376344088,14.545174731182797,1.4944086021505376,32.1
EL CAMAL,2019-01-01,18.745456989247312,0.7626075268817204,23.946350806451612,17.642620967741937,25.5,3.6829569892473115,143.63770161290321,66.64439516129032,,725.527311827957,218.16279569892473,14.747647849462366,1.5707795698924731,114.4
EL CAMAL,2019-02-01,20.806160714285713,0.9325074404761905,28.76033234126984,18.270498511904762,25.5,4.537098214285714,129.55267857142857,73.47835565476191,,725.5546726190476,194.05323660714285,14.763132440476191,1.2445684523809524,137.5
EL CAMAL,2019-03-01,23.61369623655914,1.0141935483870967,35.02799731182796,24.95045698924731,25.5,6.297325268817205,145.183125,73.36802419354838,,725.8341666666666,201.85643817204303,14.779946236559141,1.2034005376344086,303.6
EL CAMAL,2019-04-01,20.83639393939394,1.0336736111111111,31.466111111111108,19.008604166666665,25.5,4.774444444444445,151.05868750000002,73.8788888888889,,726.2941041666667,184.53470833333333,14.464131944444443,1.3006250000000001,191.1
EL CAMAL,2019-05-01,19.52351967253177,0.8377409274193549,27.535809139784945,16.090980734767026,25.5,4.481182795698925,132.97621505376344,69.5398817204301,,726.1717486559139,188.34814516129032,14.747903225806452,1.2658306451612904,37.5
EL CAMAL,2019-06-01,18.97951407914764,0.7525486111111112,25.624722484827267,18.39054861111111,25.5,5.060222222222222,140.9160138888889,61.225458333333336,,726.0597638888889,197.06830555555555,15.194194444444443,1.5025,6.0
EL CAMAL,2019-07-01,16.932671370967743,0.6945295698924732,25.74744623655914,22.338723118279567,25.5,5.443346774193548,143.40674731182796,57.82495967741935,,725.8364650537634,208.95780913978493,14.635725806451612,1.5235887096774192,7.4
EL CAMAL,2019-08-01,15.539907682512734,0.5747177419354839,22.55218413978495,43.51251414827391,25.5,2.940470430107527,161.99564003254102,49.02223365874363,,726.0925852433503,254.79311827956988,14.94641765704584,2.185767897566497,0.0
EL CAMAL,2019-09-01,20.919305555555557,0.7435069444444445,29.39765277777778,36.93094444444444,25.5,4.069361111111111,159.8422222222222,58.61879166666667,,726.0337638888889,224.13430555555558,14.839472222222222,1.7553055555555555,58.5
EL CAMAL,2019-10-01,21.38795698924731,0.811633064516129,30.34358870967742,23.971209677419356,25.5,5.530940860215054,147.41754704301076,71.26298387096774,,725.4489516129032,186.33157258064517,13.824045698924731,1.3376881720430107,108.4
EL CAMAL,2019-11-01,19.27411111111111,0.7944930555555555,28.446659722222225,19.49661111111111,25.5,3.711409722222222,137.47477083333334,74.49402777777777,,724.9624305555556,199.65184722222222,14.180958333333335,1.443736111111111,132.5
EL CAMAL,2019-12-01,19.235849025372108,0.9195295698924731,29.432822580645162,18.848302743789397,25.5,4.759213709677419,129.8798034853541,73.53359936967001,,725.0984165276234,208.41947487949574,14.39095082499073,1.2088959955506118,157.5
EL CAMAL,2020-01-01,18.772069281524928,0.7338457355816227,24.7606176686217,18.24168743890518,25.5,4.889999705631801,147.4440261485826,68.12716336754643,,725.8290004887585,226.20974156891495,14.809495356793743,1.4200226050830889,103.0
EL CAMAL,2020-02-01,23.41413074712644,0.8596479885057472,30.54137212643678,21.15351293103448,25.5,4.497772988505747,146.38567528735632,69.87050287356323,,725.8583908045977,215.87991379310347,14.973239942528735,1.4328879310344826,127.7
