unique_id,ds,predicted_RF,predicted_XGB
CARAPUNGO,2026-07-01,13.65079609320535,16.199684047698973
CARAPUNGO,2026-08-01,17.233924556637582,20.810722938660653
CARAPUNGO,2026-09-01,22.33488250112975,28.807457995308766
CARAPUNGO,2026-10-01,14.946288091589294,17.57066549891924
CARAPUNGO,2026-11-01,12.638525711858568,12.617809700436062
CARAPUNGO,2026-12-01,14.537375916688452,12.716731162942867
CARAPUNGO,2027-01-01,14.002855873063837,11.815383233983031
CARAPUNGO,2027-02-01,14.075758374921087,11.850550815938483
CARAPUNGO,2027-03-01,14.136479409125197,11.267230410678412
CARAPUNGO,2027-04-01,11.8452062480768,12.690507227102916
CARAPUNGO,2027-05-01,12.935122864365969,14.514029883825653
CARAPUNGO,2027-06-01,13.44273473793041,12.129995662265351
CARAPUNGO,2027-07-01,13.904217211538816,12.907232666015624
