unique_id,ds,y,predicted_RF,predicted_XGB
COTOCOLLAO,2024-01-01,14.18927251344086,11.440748875121756,10.494641862889772
COTOCOLLAO,2024-02-01,12.698685344827586,12.375113558962202,10.28794378553118
COTOCOLLAO,2024-03-01,15.112080309139785,11.161616800229835,9.58649825639622
COTOCOLLAO,2024-04-01,14.875628754694379,11.533446213369684,9.277142808066474
COTOCOLLAO,2024-05-01,13.564301075268817,12.00162459239796,10.8427309142343
COTOCOLLAO,2024-06-01,12.263993055555556,11.627985093200937,11.324122275246514
COTOCOLLAO,2024-07-01,10.136263440860215,11.524313007115643,10.583487657629034
COTOCOLLAO,2024-08-01,14.565853494623656,13.163552334754861,15.163982941251014
COTOCOLLAO,2024-09-01,19.589703571428572,16.564584302473232,18.583675197601316
COTOCOLLAO,2024-10-01,17.031895161290322,16.41566128168199,15.723585989377833
