station,datetime,actual,predicted_ARIMA
CARAPUNGO,2025-10-01,16.844710872162487,18.38762974278715
CARAPUNGO,2025-11-01,13.320382936507938,17.19344514229816
CARAPUNGO,2025-12-01,17.000927419354838,15.646490405859335
CARAPUNGO,2024-01-01,,15.001361218838603
CARAPUNGO,2024-02-01,,15.670033107341043
CARAPUNGO,2024-03-01,,15.282223731066004
CARAPUNGO,2024-04-01,,15.578330902639184
CARAPUNGO,2024-05-01,,15.453631107868514
CARAPUNGO,2024-06-01,,16.25984207764947
CARAPUNGO,2024-07-01,,15.53986345338174
CARAPUNGO,2024-08-01,,17.734438479075944
CARAPUNGO,2024-09-01,,20.696774778605853
CARAPUNGO,2024-10-01,,18.650260462461908
CARAPUNGO,2024-11-01,,17.26906698815284
CARAPUNGO,2024-12-01,,15.70811857436512
